Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
Roschon Johnson,CHI,1,6,6,0,0,6,0,0,10/12
Tyrone Tracy Jr.,NYG,4,6,1.5,0,0,3,0,0,10/12
Xavier Worthy,KC,1,6,6,0,0,6,0,0,10/12
Michael Penix Jr.,ATL,2,6,3,0,0,7,0,0,10/12
Bryce Young,CAR,3,5,1.7,0,0,8,0,0,10/12
Ty Johnson,BUF,1,5,5,0,0,5,0,0,10/12
Jeremy McNichols,WAS,2,5,2.5,0,1,4,0,0,10/12
Tua Tagovailoa,MIA,1,4,4,0,0,4,0,0,10/12
RJ Harvey,DEN,2,4,2,0,0,2,0,0,10/12
Olamide Zaccheaus,CHI,1,4,4,0,0,4,0,0,10/12
Bo Melton,GB,1,3,3,0,0,3,0,0,10/12
Adam Prentice,DEN,1,3,3,0,0,3,0,0,10/12
Savion Williams,GB,1,3,3,0,0,3,0,0,10/12
Alec Ingold,MIA,1,3,3,0,0,3,0,0,10/12
Ryan Flournoy,DAL,1,3,3,0,0,3,0,0,10/12
A.J. Dillon,PHI,1,2,2,0,0,2,1,1,10/12
Amon-Ra St. Brown,DET,1,2,2,0,0,2,1,0,10/12
Troy Franklin,DEN,1,2,2,0,0,2,1,1,10/12
Feleipe Franks,ATL,1,2,2,0,1,2,0,0,10/12
Justin Herbert,LAC,1,2,2,0,1,2,0,0,10/12
Isaiah Davis,NYJ,2,2,1,0,0,2,0,0,10/12
Sam Darnold,SEA,4,2,0.5,0,1,6,0,0,10/12
LeQuint Allen Jr.,JAX,1,2,2,0,0,2,0,0,10/12
Mark Andrews,BAL,3,2,0.7,0,1,2,0,0,10/12
Chris Brooks,GB,1,1,1,0,0,1,0,0,10/12
Matthew Stafford,LAR,4,1,0.3,0,0,3,2,1,10/12
Emari Demercado,ARI,1,1,1,0,0,1,0,0,10/12
Malik Washington,MIA,1,1,1,0,0,1,0,0,10/12
Ollie Gordon II,MIA,2,1,0.5,0,1,3,0,0,10/12
Taysom Hill,NO,1,1,1,1,1,1,0,0,10/12
Aaron Rodgers,PIT,1,1,1,0,0,1,0,0,10/12
DeeJay Dallas,CAR,1,0,0,0,0,0,0,0,10/12
Cooper Rush,BAL,1,0,0,0,0,0,1,1,10/12
Jaleel McLaughlin,DEN,1,0,0,0,0,0,0,0,10/12
Mason Rudolph,PIT,3,0,0,0,0,0,0,0,10/12
Jaydon Blue,DAL,3,0,0,0,0,2,0,0,10/12
Terrance Ferguson,LAR,1,0,0,0,0,0,0,0,10/12
Dak Prescott,DAL,2,-1,-0.5,0,0,0,1,0,10/12
Deebo Samuel,WAS,1,-1,-1,0,0,-1,0,0,10/12
Marvin Mims Jr.,DEN,1,-2,-2,0,0,-2,1,0,10/12
Caleb Williams,CHI,4,-2,-0.5,1,2,4,0,0,10/12
Ja'Marr Chase,CIN,1,-3,-3,0,0,-3,0,0,10/12
Geno Smith,LV,4,-3,-0.8,0,0,0,0,0,10/12
Raheem Mostert,LV,5,-4,-0.8,0,0,3,0,0,10/12
Rico Dowdle,CAR,23,206,9,1,7,53,0,0,10/5
Javonte Williams,DAL,16,135,8.4,1,6,66,0,0,10/5
Breece Hall,NYJ,14,113,8.1,0,6,22,1,1,10/5
Jacory Croskey-Merritt,WAS,14,111,7.9,2,6,27,1,1,10/5
Quinshon Judkins,CLE,23,110,4.8,0,5,32,0,0,10/5
Kenneth Walker III,SEA,10,86,8.6,0,3,31,0,0,10/5
Emari Demercado,ARI,3,81,27,0,0,71,1,1,10/5
J.K. Dobbins,DEN,20,79,4,1,5,17,0,0,10/5
Tony Pollard,TEN,14,67,4.8,1,4,14,1,1,10/5
Ashton Jeanty,LV,14,67,4.8,0,3,12,0,0,10/5
Jonathan Taylor,IND,17,66,3.9,3,6,16,0,0,10/5
Kyren Williams,LAR,14,65,4.6,0,4,20,1,1,10/5
David Montgomery,DET,18,65,3.6,1,4,19,0,0,10/5
Nick Chubb,HOU,11,61,5.5,1,3,27,0,0,10/5
Justin Herbert,LAC,4,60,15,0,3,41,0,0,10/5
Patrick Mahomes,KC,6,60,10,1,4,15,0,0,10/5
Cam Skattebo,NYG,15,59,3.9,0,4,9,1,1,10/5
Christian McCaffrey,SF,22,57,2.6,0,2,8,0,0,10/5
Jaxson Dart,NYG,7,55,7.9,0,4,20,1,1,10/5
Trevor Lawrence,JAX,10,54,5.4,2,6,16,1,1,10/5
Jahmyr Gibbs,DET,12,54,4.5,0,3,9,0,0,10/5
Josh Allen,BUF,9,53,5.9,0,3,19,1,1,10/5
Jordan Mason,MIN,13,52,4,1,3,14,1,1,10/5
Michael Carter,ARI,18,51,2.8,1,2,7,0,0,10/5
Travis Etienne Jr.,JAX,12,49,4.1,0,2,8,0,0,10/5
James Cook III,BUF,15,49,3.3,0,2,9,0,0,10/5
Kareem Hunt,KC,7,49,7,2,3,33,0,0,10/5
Omarion Hampton,LAC,12,44,3.7,0,2,8,0,0,10/5
Kendre Miller,NO,10,41,4.1,0,1,11,0,0,10/5
Rachaad White,TB,14,41,2.9,2,5,12,0,0,10/5
Jayden Daniels,WAS,8,39,4.9,0,2,12,0,0,10/5
Zach Charbonnet,SEA,9,36,4,1,3,8,0,0,10/5
Isiah Pacheco,KC,7,36,5.1,0,4,16,0,0,10/5
Derrick Henry,BAL,15,33,2.2,1,3,7,0,0,10/5
Jake Browning,CIN,4,31,7.8,0,2,13,1,0,10/5
Saquon Barkley,PHI,6,30,5,0,1,17,0,0,10/5
C.J. Stroud,HOU,1,30,30,0,1,30,0,0,10/5
Dak Prescott,DAL,7,28,4,0,2,14,0,0,10/5
Samaje Perine,CIN,4,27,6.8,0,2,10,0,0,10/5
Chase Brown,CIN,8,27,3.4,0,0,6,1,0,10/5
Alvin Kamara,NO,8,27,3.4,0,0,11,0,0,10/5
Justin Fields,NYJ,7,26,3.7,0,3,11,0,0,10/5
Kyler Murray,ARI,4,25,6.3,1,3,12,1,1,10/5
TreVeyon Henderson,NE,6,24,4,0,1,13,0,0,10/5
Woody Marks,HOU,7,24,3.4,0,1,11,0,0,10/5
DJ Giddens,IND,5,22,4.4,0,1,9,0,0,10/5
Raheem Mostert,LV,7,22,3.1,0,1,5,0,0,10/5
Bo Nix,DEN,3,22,7.3,0,1,14,0,0,10/5
Trevor Etienne,CAR,4,22,5.5,0,1,12,0,0,10/5
Antonio Gibson,NE,6,21,3.5,0,1,8,1,0,10/5
Spencer Rattler,NO,6,21,3.5,0,3,11,0,0,10/5
Dameon Pierce,HOU,7,21,3,0,1,10,0,0,10/5
Devin Singletary,NYG,6,20,3.3,0,2,7,0,0,10/5
Zavier Scott,MIN,5,18,3.6,0,0,9,1,1,10/5
Jerome Ford,CLE,5,18,3.6,0,2,10,0,0,10/5
Kimani Vidal,LAC,4,18,4.5,0,1,11,0,0,10/5
De'Von Achane,MIA,10,16,1.6,0,2,6,0,0,10/5
British Brooks,HOU,2,15,7.5,0,2,9,0,0,10/5
Jalen Nailor,MIN,1,15,15,0,1,15,0,0,10/5
Baker Mayfield,TB,5,15,3,0,1,8,0,0,10/5
Rhamondre Stevenson,NE,7,14,2,2,2,7,1,1,10/5
Tyjae Spears,TEN,4,14,3.5,0,1,5,0,0,10/5
Hassan Haskins,LAC,5,13,2.6,0,0,5,0,0,10/5
Blake Corum,LAR,1,13,13,0,1,13,0,0,10/5
Carson Wentz,MIN,3,13,4.3,0,0,6,0,0,10/5
RJ Harvey,DEN,4,12,3,0,1,8,0,0,10/5
A.J. Dillon,PHI,2,12,6,0,1,9,0,0,10/5
Brian Robinson Jr.,SF,5,12,2.4,0,2,5,0,0,10/5
Drake Maye,NE,3,12,4,0,1,9,0,0,10/5
Malachi Corley,CLE,1,11,11,0,1,11,0,0,10/5
Bam Knight,ARI,4,11,2.8,1,2,10,0,0,10/5
Trey Lance,LAC,1,11,11,0,0,11,0,0,10/5
Ty Johnson,BUF,2,10,5,0,0,7,0,0,10/5
Ryan Flournoy,DAL,2,10,5,0,1,10,0,0,10/5
Jimmy Horn Jr.,CAR,2,10,5,0,0,5,0,0,10/5
Quentin Johnston,LAC,1,9,9,0,0,9,1,1,10/5
Tre Tucker,LV,1,9,9,0,0,9,0,0,10/5
Marvin Mims Jr.,DEN,1,9,9,0,0,9,0,0,10/5
Xavier Worthy,KC,1,9,9,0,0,9,0,0,10/5
Geno Smith,LV,3,8,2.7,0,2,5,0,0,10/5
Adam Prentice,DEN,1,8,8,0,1,8,0,0,10/5
Keaton Mitchell,BAL,3,8,2.7,0,1,6,0,0,10/5
Nico Collins,HOU,1,8,8,0,0,8,0,0,10/5
Jaydon Blue,DAL,4,7,1.8,0,0,6,0,0,10/5
Chris Rodriguez Jr.,WAS,5,7,1.4,0,1,3,0,0,10/5
Ameer Abdullah,IND,2,6,3,1,1,4,0,0,10/5
Bhayshul Tuten,JAX,4,6,1.5,0,1,4,0,0,10/5
Jeremy McNichols,WAS,1,6,6,0,0,6,0,0,10/5
Khalil Shakir,BUF,1,5,5,0,0,5,0,0,10/5
Mac Jones,SF,4,5,1.3,0,2,2,0,0,10/5
Dillon Gabriel,CLE,2,5,2.5,0,0,8,0,0,10/5
Isaiah Davis,NYJ,1,5,5,0,0,5,0,0,10/5
Tua Tagovailoa,MIA,1,5,5,0,0,5,0,0,10/5
Jaylin Noel,HOU,1,5,5,0,0,5,0,0,10/5
Brashard Smith,KC,1,4,4,0,0,4,0,0,10/5
Jalen Hurts,PHI,2,3,1.5,0,0,4,0,0,10/5
Julius Chestnut,TEN,1,3,3,0,1,3,0,0,10/5
Sean Tucker,TB,3,3,1,0,0,3,0,0,10/5
Justice Hill,BAL,1,3,3,0,0,3,0,0,10/5
Davis Mills,HOU,3,3,1,0,0,5,0,0,10/5
Daniel Jones,IND,1,2,2,0,1,2,1,0,10/5
Wan'Dale Robinson,NYG,1,2,2,0,1,2,0,0,10/5
Tez Johnson,TB,1,2,2,0,0,-,0,0,10/5
Skyy Moore,SF,1,1,1,0,0,1,0,0,10/5
Bryce Young,CAR,3,1,0.3,0,0,4,1,1,10/5
Ray Davis,BUF,2,1,0.5,0,0,1,0,0,10/5
Jameson Williams,DET,1,1,1,0,0,1,0,0,10/5
Matthew Stafford,LAR,1,0,0,0,0,0,1,1,10/5
Jalen Milroe,SEA,1,0,0,0,0,0,1,1,10/5
Will Shipley,PHI,1,0,0,0,0,0,0,0,10/5
Kyle Juszczyk,SF,1,-1,-1,0,0,-1,0,0,10/5
Max Brosmer,MIN,1,-1,-1,0,0,-1,0,0,10/5
Taysom Hill,NO,6,-1,-0.2,0,1,2,0,0,10/5
Jared Goff,DET,2,-2,-1,0,0,-1,1,1,10/5
Ollie Gordon II,MIA,3,-2,-0.7,0,0,3,0,0,10/5
Dylan Sampson,CLE,1,-4,-4,0,0,-4,0,0,10/5
Sterling Shepard,TB,1,-5,-5,0,0,-5,0,0,10/5
Cam Ward,TEN,5,-6,-1.2,0,0,2,0,0,10/5
Ashton Jeanty,LV,21,138,6.6,1,6,64,1,1,9/28
Omarion Hampton,LAC,12,128,10.7,1,5,54,0,0,9/28
Travis Etienne Jr.,JAX,19,124,6.5,1,5,48,0,0,9/28
James Cook III,BUF,22,117,5.3,1,6,15,0,0,9/28
J.K. Dobbins,DEN,16,101,6.3,0,6,16,0,0,9/28
De'Von Achane,MIA,20,99,5,1,4,21,1,0,9/28
Kenneth Gainwell,PIT,19,99,5.2,2,8,15,0,0,9/28
Jahmyr Gibbs,DET,15,91,6.1,1,5,24,0,0,9/28
Josh Jacobs,GB,22,86,3.9,2,6,19,0,0,9/28
Javonte Williams,DAL,20,85,4.3,1,5,13,0,0,9/28
Quinshon Judkins,CLE,21,82,3.9,1,7,11,0,0,9/28
Justin Fields,NYJ,7,81,11.6,1,3,43,1,1,9/28
Kenneth Walker III,SEA,19,81,4.3,0,2,21,0,0,9/28
Breece Hall,NYJ,14,81,5.8,0,3,23,0,0,9/28
Cam Skattebo,NYG,25,79,3.2,0,4,16,0,0,9/28
Kyren Williams,LAR,13,77,5.9,0,6,11,1,1,9/28
Justice Hill,BAL,3,76,25.3,1,2,71,0,0,9/28
Jonathan Taylor,IND,17,76,4.5,0,3,12,0,0,9/28
Bijan Robinson,ATL,17,75,4.4,1,5,14,1,0,9/28
Alvin Kamara,NO,15,70,4.7,0,4,17,0,0,9/28
Woody Marks,HOU,17,69,4.1,1,5,18,0,0,9/28
Kendre Miller,NO,11,65,5.9,1,5,18,0,0,9/28
Tony Pollard,TEN,14,64,4.6,0,2,21,0,0,9/28
Bucky Irving,TB,15,63,4.2,0,2,15,1,1,9/28
Jalen Hurts,PHI,9,62,6.9,0,3,29,1,0,9/28
Raheem Mostert,LV,4,62,15.5,0,3,37,0,0,9/28
Chris Rodriguez Jr.,WAS,7,59,8.4,0,1,48,0,0,9/28
RJ Harvey,DEN,14,58,4.1,0,2,9,0,0,9/28
Jordan Mason,MIN,16,57,3.6,0,5,9,1,0,9/28
Jaxson Dart,NYG,10,54,5.4,1,5,15,1,0,9/28
Tyler Allgeier,ATL,16,51,3.2,1,3,19,0,0,9/28
Spencer Rattler,NO,6,49,8.2,0,5,15,1,0,9/28
Christian McCaffrey,SF,17,49,2.9,0,1,11,1,0,9/28
Chuba Hubbard,CAR,10,49,4.9,0,3,11,0,0,9/28
Lamar Jackson,BAL,6,48,8,0,3,17,1,1,9/28
Jacory Croskey-Merritt,WAS,7,47,6.7,0,4,16,0,0,9/28
Nick Chubb,HOU,13,47,3.6,0,2,11,0,0,9/28
Josh Allen,BUF,7,45,6.4,1,3,27,0,0,9/28
Emanuel Wilson,GB,8,44,5.5,0,3,13,0,0,9/28
Saquon Barkley,PHI,19,43,2.3,1,1,10,0,0,9/28
Derrick Henry,BAL,8,42,5.3,0,2,14,0,0,9/28
Kyler Murray,ARI,5,41,8.2,0,1,29,0,0,9/28
Chase Brown,CIN,10,40,4,0,2,6,0,0,9/28
Zach Charbonnet,SEA,12,39,3.3,1,3,15,0,0,9/28
Xavier Worthy,KC,2,38,19,0,2,35,0,0,9/28
D'Andre Swift,CHI,14,38,2.7,1,4,13,0,0,9/28
Rhamondre Stevenson,NE,9,38,4.2,0,1,22,0,0,9/28
Trey Benson,ARI,8,35,4.4,0,1,12,0,0,9/28
Isiah Pacheco,KC,7,35,5,0,2,12,0,0,9/28
Kareem Hunt,KC,13,34,2.6,0,4,7,0,0,9/28
Trevor Etienne,CAR,7,33,4.7,0,1,22,0,0,9/28
TreVeyon Henderson,NE,7,32,4.6,1,3,11,0,0,9/28
Rico Dowdle,CAR,9,32,3.6,0,2,10,0,0,9/28
Geno Smith,LV,4,31,7.8,0,1,20,0,0,9/28
Jordan Love,GB,3,28,9.3,0,1,25,1,1,9/28
Devin Singletary,NYG,7,28,4,0,2,8,0,0,9/28
Antonio Gibson,NE,6,27,4.5,1,2,21,0,0,9/28
Braelon Allen,NYJ,4,26,6.5,0,2,15,1,1,9/28
Sam Darnold,SEA,1,24,24,0,1,24,1,0,9/28
Justin Herbert,LAC,1,24,24,0,1,24,0,0,9/28
Kaleb Johnson,PIT,6,22,3.7,0,1,9,0,0,9/28
Cam Ward,TEN,2,22,11,0,1,12,0,0,9/28
Blake Corum,LAR,9,21,2.3,0,1,10,0,0,9/28
Brian Robinson Jr.,SF,5,21,4.2,0,0,7,0,0,9/28
Marcus Mariota,WAS,2,20,10,0,1,22,0,0,9/28
Kyle Monangai,CHI,4,18,4.5,0,0,9,0,0,9/28
A.J. Dillon,PHI,3,17,5.7,0,1,11,0,0,9/28
Rachaad White,TB,6,17,2.8,0,2,5,0,0,9/28
Marvin Mims Jr.,DEN,1,16,16,1,1,16,0,0,9/28
Bhayshul Tuten,JAX,4,14,3.5,0,0,8,0,0,9/28
Caleb Williams,CHI,8,13,1.6,0,1,12,2,0,9/28
Brock Purdy,SF,2,13,6.5,0,2,11,1,1,9/28
Baker Mayfield,TB,2,13,6.5,0,1,7,1,0,9/28
Carson Wentz,MIN,2,12,6,0,1,11,1,0,9/28
Ryan Flournoy,DAL,1,12,12,0,1,12,0,0,9/28
David Montgomery,DET,9,12,1.3,0,0,4,0,0,9/28
David Moore,CAR,1,12,12,0,1,12,0,0,9/28
Jaxon Smith-Njigba,SEA,3,11,3.7,0,0,10,0,0,9/28
Jacob Saylors,DET,2,11,5.5,0,1,9,0,0,9/28
Drake Maye,NE,3,11,3.7,1,1,5,0,0,9/28
C.J. Stroud,HOU,4,11,2.8,0,3,4,0,0,9/28
Ollie Gordon II,MIA,6,10,1.7,0,1,7,0,0,9/28
Deebo Samuel,WAS,3,9,3,0,1,7,1,0,9/28
Chris Moore,WAS,1,9,9,0,0,9,0,0,9/28
Brashard Smith,KC,4,9,2.3,0,0,5,0,0,9/28
Tre Tucker,LV,2,9,4.5,0,0,5,0,0,9/28
Isaiah Davis,NYJ,3,9,3,0,1,6,0,0,9/28
Aaron Rodgers,PIT,3,8,2.7,0,1,10,1,0,9/28
Emari Demercado,ARI,2,8,4,0,0,8,0,0,9/28
Miles Sanders,DAL,2,8,4,0,1,5,0,0,9/28
Malik Washington,MIA,2,8,4,0,0,8,0,0,9/28
Ashton Dulin,IND,1,7,7,0,0,7,0,0,9/28
Brian Thomas Jr.,JAX,1,7,7,0,1,7,0,0,9/28
Trevor Lawrence,JAX,7,7,1,0,2,6,0,0,9/28
Bo Nix,DEN,6,7,1.2,1,1,6,0,0,9/28
Hunter Luepke,DAL,1,6,6,0,0,6,0,0,9/28
Tua Tagovailoa,MIA,3,6,2,0,0,5,1,0,9/28
Sterling Shepard,TB,1,6,6,0,0,6,0,0,9/28
Rashid Shaheed,NO,2,5,2.5,0,0,5,0,0,9/28
Matthew Golden,GB,1,5,5,0,1,5,0,0,9/28
Patrick Mahomes,KC,4,5,1.3,0,0,4,0,0,9/28
Tez Johnson,TB,1,5,5,0,0,5,0,0,9/28
Andrei Iosivas,CIN,1,5,5,0,0,5,0,0,9/28
Greg Dortch,ARI,1,4,4,0,0,4,0,0,9/28
KaVontae Turpin,DAL,1,4,4,0,0,4,0,0,9/28
Matthew Stafford,LAR,4,4,1,0,0,6,0,0,9/28
Samaje Perine,CIN,1,4,4,0,0,4,0,0,9/28
Jake Browning,CIN,3,4,1.3,0,1,3,0,0,9/28
Adam Prentice,DEN,1,4,4,0,1,4,0,0,9/28
Jeremy McNichols,WAS,2,3,1.5,0,0,2,0,0,9/28
Ray Davis,BUF,1,3,3,0,0,3,0,0,9/28
Tyler Warren,IND,2,3,1.5,1,1,2,0,0,9/28
Bryce Young,CAR,1,3,3,0,1,3,0,0,9/28
Michael Penix Jr.,ATL,4,2,0.5,0,1,5,0,0,9/28
Connor Heyward,PIT,1,2,2,0,1,2,0,0,9/28
Dak Prescott,DAL,1,2,2,1,1,2,0,0,9/28
Jaylin Noel,HOU,1,2,2,0,0,2,0,0,9/28
Zavier Scott,MIN,2,1,0.5,0,0,2,0,0,9/28
Michael Carter,ARI,1,1,1,0,0,1,0,0,9/28
Savion Williams,GB,1,1,1,0,0,1,0,0,9/28
Harold Fannin Jr.,CLE,1,1,1,0,0,1,0,0,9/28
Julius Chestnut,TEN,1,0,0,0,0,0,0,0,9/28
Ty Johnson,BUF,1,0,0,0,0,0,0,0,9/28
Elijah Moore,BUF,1,0,0,0,0,0,0,0,9/28
Emeka Egbuka,TB,1,0,0,0,0,0,0,0,9/28
Joe Flacco,CIN,3,-1,-0.3,0,0,0,1,1,9/28
Daniel Jones,IND,1,-1,-1,0,0,-1,1,0,9/28
Jerome Ford,CLE,1,-1,-1,0,0,-1,0,0,9/28
Parker Washington,JAX,1,-1,-1,0,0,-1,0,0,9/28
Dylan Sampson,CLE,1,-2,-2,0,0,-2,0,0,9/28
Kyle Allen,DET,2,-2,-1,0,0,-1,0,0,9/28
Joshua Dobbs,NE,3,-2,-0.7,0,0,0,0,0,9/28
Kyle Williams,NE,1,-2,-2,0,0,-2,0,0,9/28
Jameson Williams,DET,1,-3,-3,0,0,-3,0,0,9/28
Gardner Minshew,KC,2,-3,-1.5,0,0,-1,0,0,9/28
Chimere Dike,TEN,1,-4,-4,0,0,-4,0,0,9/28
Braden Mann,PHI,1,-34,-34,0,0,-34,0,0,9/28
David Montgomery,DET,12,151,12.6,2,6,72,0,0,9/21
Jordan Mason,MIN,16,116,7.3,2,7,24,0,0,9/21
James Cook III,BUF,19,108,5.7,1,6,26,0,0,9/21
Jonathan Taylor,IND,17,102,6,3,6,46,0,0,9/21
Quinshon Judkins,CLE,18,94,5.2,1,5,38,0,0,9/21
Kyren Williams,LAR,20,94,4.7,0,7,13,0,0,9/21
J.K. Dobbins,DEN,11,83,7.5,1,3,41,0,0,9/21
Jeremy McNichols,WAS,4,78,19.5,1,3,60,0,0,9/21
Javonte Williams,DAL,10,76,7.6,0,4,22,1,1,9/21
Chuba Hubbard,CAR,17,73,4.3,0,2,8,0,0,9/21
Bijan Robinson,ATL,13,72,5.5,0,4,17,0,0,9/21
Omarion Hampton,LAC,19,70,3.7,1,4,11,1,0,9/21
Jahmyr Gibbs,DET,22,67,3,2,5,9,0,0,9/21
Bucky Irving,TB,25,66,2.6,0,2,16,0,0,9/21
Ashton Jeanty,LV,17,63,3.7,0,3,18,0,0,9/21
De'Von Achane,MIA,12,62,5.2,0,1,14,0,0,9/21
Cam Skattebo,NYG,10,60,6,1,4,13,0,0,9/21
Travis Etienne Jr.,JAX,16,56,3.5,1,2,10,0,0,9/21
Blake Corum,LAR,8,53,6.6,0,4,12,0,0,9/21
Christian McCaffrey,SF,17,52,3.1,0,3,15,0,0,9/21
Derrick Henry,BAL,12,50,4.2,1,2,28,1,1,9/21
Tyrod Taylor,NYJ,8,48,6,0,3,14,1,1,9/21
Jaylen Warren,PIT,18,47,2.6,0,5,11,0,0,9/21
Nathan Carter,ATL,7,46,6.6,0,2,10,1,1,9/21
Saquon Barkley,PHI,18,46,2.6,0,3,12,0,0,9/21
Drake Maye,NE,7,45,6.4,0,5,15,1,1,9/21
Isiah Pacheco,KC,10,45,4.5,0,2,10,0,0,9/21
Tony Pollard,TEN,16,45,2.8,1,6,10,0,0,9/21
Baker Mayfield,TB,4,44,11,0,2,33,1,0,9/21
Trey Benson,ARI,10,42,4.2,0,2,29,0,0,9/21
Alvin Kamara,NO,18,42,2.3,0,3,8,0,0,9/21
Miles Sanders,DAL,9,41,4.6,0,2,8,0,0,9/21
Jalen Hurts,PHI,9,40,4.4,1,5,18,1,1,9/21
Marcus Mariota,WAS,6,40,6.7,1,2,22,1,1,9/21
Chris Rodriguez Jr.,WAS,11,39,3.5,0,1,14,0,0,9/21
Ollie Gordon II,MIA,9,38,4.2,1,4,16,0,0,9/21
Kenneth Walker III,SEA,16,38,2.4,2,4,10,0,0,9/21
Nick Chubb,HOU,9,38,4.2,0,1,8,0,0,9/21
Kyler Murray,ARI,6,37,6.2,0,2,9,0,0,9/21
Lamar Jackson,BAL,7,35,5,0,2,13,1,0,9/21
Kareem Hunt,KC,10,34,3.4,1,2,6,0,0,9/21
D'Andre Swift,CHI,13,33,2.5,0,4,11,0,0,9/21
Bo Nix,DEN,8,33,4.1,0,0,12,0,0,9/21
Josh Jacobs,GB,16,30,1.9,0,2,7,1,0,9/21
Zavier Scott,MIN,8,30,3.8,0,2,11,1,0,9/21
Braelon Allen,NYJ,6,30,5,0,1,9,0,0,9/21
Rico Dowdle,CAR,10,30,3,1,3,8,0,0,9/21
Tyrone Tracy Jr.,NYG,7,29,4.1,0,3,10,0,0,9/21
Antonio Gibson,NE,7,28,4,0,2,11,1,1,9/21
TreVeyon Henderson,NE,11,28,2.5,0,2,5,0,0,9/21
Najee Harris,LAC,6,28,4.7,0,1,7,0,0,9/21
George Holani,SEA,10,27,2.7,0,2,8,1,1,9/21
Daniel Jones,IND,4,27,6.8,0,2,17,0,0,9/21
Russell Wilson,NYG,5,27,5.4,0,1,14,0,0,9/21
Kendre Miller,NO,7,27,3.9,0,0,8,0,0,9/21
Woody Marks,HOU,6,27,4.5,0,0,8,0,0,9/21
Julius Chestnut,TEN,2,26,13,0,1,27,0,0,9/21
Jacory Croskey-Merritt,WAS,8,26,3.3,1,2,9,0,0,9/21
Josh Allen,BUF,4,25,6.3,0,0,19,1,0,9/21
Emanuel Wilson,GB,6,25,4.2,0,1,9,0,0,9/21
James Conner,ARI,9,22,2.4,0,3,9,1,0,9/21
Brian Robinson Jr.,SF,2,22,11,0,1,19,0,0,9/21
C.J. Stroud,HOU,4,22,5.5,0,1,12,0,0,9/21
Samaje Perine,CIN,4,21,5.3,0,2,12,1,1,9/21
Breece Hall,NYJ,9,21,2.3,0,1,17,0,0,9/21
Bhayshul Tuten,JAX,6,21,3.5,1,2,6,0,0,9/21
Malik Washington,MIA,2,20,10,0,2,14,0,0,9/21
Jacardia Wright,SEA,5,20,4,0,1,10,0,0,9/21
Cam Akers,MIN,5,19,3.8,0,1,14,0,0,9/21
Zamir White,LV,5,19,3.8,0,0,9,0,0,9/21
Rhamondre Stevenson,NE,4,18,4.5,0,1,10,2,2,9/21
Jordan Love,GB,4,18,4.5,0,1,10,0,0,9/21
Deebo Samuel,WAS,3,18,6,0,0,9,0,0,9/21
Tahj Brooks,CIN,5,17,3.4,0,0,7,0,0,9/21
Kyle Monangai,CHI,6,16,2.7,0,1,8,0,0,9/21
Kenneth Gainwell,PIT,4,16,4,1,2,13,0,0,9/21
Ty Johnson,BUF,3,13,4.3,0,1,7,0,0,9/21
Brashard Smith,KC,2,13,6.5,0,1,8,0,0,9/21
Olamide Zaccheaus,CHI,1,12,12,0,1,12,0,0,9/21
Caleb Williams,CHI,5,12,2.4,0,0,7,0,0,9/21
Cam Ward,TEN,3,12,4,0,1,7,0,0,9/21
Rachaad White,TB,5,12,2.4,0,0,7,0,0,9/21
Elijah Moore,BUF,1,11,11,0,1,11,0,0,9/21
Nikko Remigio,KC,1,11,11,0,1,11,0,0,9/21
Devin Singletary,NYG,4,11,2.8,0,0,4,0,0,9/21
Tua Tagovailoa,MIA,2,10,5,0,1,8,1,0,9/21
Spencer Rattler,NO,2,10,5,0,1,5,0,0,9/21
Ja'Marr Chase,CIN,1,9,9,0,0,9,1,1,9/21
Matthew Golden,GB,3,9,3,0,0,4,0,0,9/21
Michael Penix Jr.,ATL,2,9,4.5,0,0,6,0,0,9/21
Trevor Lawrence,JAX,2,9,4.5,0,1,10,0,0,9/21
Bryce Young,CAR,2,8,4,1,2,4,0,0,9/21
DJ Moore,CHI,3,7,2.3,0,0,5,0,0,9/21
Luther Burden III,CHI,1,7,7,0,1,7,0,0,9/21
Jordan Whittington,LAR,2,7,3.5,0,0,6,0,0,9/21
Jared Goff,DET,4,6,1.5,0,1,5,1,0,9/21
Tyler Goodson,IND,2,6,3,0,0,4,0,0,9/21
Puka Nacua,LAR,1,6,6,0,0,6,0,0,9/21
Justin Herbert,LAC,2,6,3,0,1,4,0,0,9/21
Greg Dortch,ARI,1,5,5,0,0,5,0,0,9/21
Geno Smith,LV,2,5,2.5,0,2,3,0,0,9/21
KaVontae Turpin,DAL,1,4,4,0,0,4,0,0,9/21
Carson Wentz,MIN,2,4,2,0,0,3,0,0,9/21
Tre Tucker,LV,1,4,4,0,0,4,0,0,9/21
Tyler Allgeier,ATL,1,4,4,0,0,4,0,0,9/21
Chase Brown,CIN,10,3,0.3,0,0,4,1,0,9/21
Chimere Dike,TEN,2,3,1.5,0,0,2,0,0,9/21
DJ Giddens,IND,1,3,3,0,0,3,0,0,9/21
Jake Browning,CIN,1,3,3,0,1,3,0,0,9/21
Jaxson Dart,NYG,1,3,3,0,0,3,0,0,9/21
Jalen Milroe,SEA,1,3,3,0,0,3,0,0,9/21
Patrick Mahomes,KC,5,2,0.4,0,0,4,2,0,9/21
Derius Davis,LAC,1,2,2,0,0,2,1,1,9/21
