Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
Grant Stuard,DET,1,0,0,0,0,0,0,0,11/16
Bryce Young,CAR,1,-1,-1,0,0,0,0,0,11/16
Teddy Bridgewater,TB,1,-1,-1,0,0,-1,0,0,11/16
Jared Goff,DET,1,-1,-1,0,0,-1,0,0,11/16
Joe Flacco,CIN,1,-1,-1,0,0,-1,0,0,11/16
Mason Rudolph,PIT,1,-1,-1,0,0,-1,0,0,11/16
Trayveon Williams,LAC,3,-1,-0.3,0,0,2,0,0,11/16
Travis Homer,CHI,1,-2,-2,0,0,-2,0,0,11/16
Jacoby Brissett,ARI,2,-2,-1,0,1,2,0,0,11/16
Mac Jones,SF,3,-3,-1,0,0,-1,0,0,11/16
Dak Prescott,DAL,4,-4,-1,0,0,0,1,1,11/16
DeMario Douglas,NE,1,-5,-5,0,0,-5,0,0,11/16
Brock Purdy,SF,1,-7,-7,0,0,-7,0,0,11/16
Jonathan Taylor,IND,32,244,7.6,3,11,83,1,0,11/9
De'Von Achane,MIA,22,174,7.9,2,7,59,0,0,11/9
TreVeyon Henderson,NE,14,147,10.5,2,4,69,0,0,11/9
Jahmyr Gibbs,DET,15,142,9.5,2,7,43,0,0,11/9
Kimani Vidal,LAC,25,95,3.8,1,9,12,0,0,11/9
Bijan Robinson,ATL,17,84,4.9,0,5,16,0,0,11/9
Breece Hall,NYJ,21,83,4,0,5,30,0,0,11/9
Zach Charbonnet,SEA,14,83,5.9,1,4,30,0,0,11/9
Alvin Kamara,NO,22,83,3.8,0,4,16,0,0,11/9
D'Andre Swift,CHI,13,80,6.2,0,4,25,0,0,11/9
J.K. Dobbins,DEN,18,77,4.3,0,3,13,0,0,11/9
Derrick Henry,BAL,20,75,3.8,0,5,14,0,0,11/9
Quinshon Judkins,CLE,22,75,3.4,0,5,11,0,0,11/9
Josh Jacobs,GB,21,74,3.5,1,5,11,1,1,11/9
Kyren Williams,LAR,14,73,5.2,2,5,12,0,0,11/9
