Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Jerome Ford,CLE,2,2,20,10,17,1,0,0,0,10/5
Ian Thomas,LV,3,3,20,6.7,10,1,0,0,0,10/5
Isiah Pacheco,KC,3,3,20,6.7,10,2,0,0,0,10/5
Dallas Goedert,PHI,3,9,19,6.3,11,2,1,0,0,10/5
RJ Harvey,DEN,3,3,18,6,11,0,0,0,0,10/5
Quinshon Judkins,CLE,1,2,18,18,18,1,0,0,0,10/5
Grant Calcaterra,PHI,2,2,18,9,11,1,0,0,0,10/5
Elic Ayomanor,TEN,2,4,18,9,13,2,0,0,0,10/5
Xavier Hutchinson,HOU,3,3,18,6,10,2,2,0,0,10/5
DeMario Douglas,NE,2,3,17,8.5,10,0,0,0,0,10/5
Juwan Johnson,NO,2,4,17,8.5,19,1,0,0,0,10/5
Chimere Dike,TEN,2,5,17,8.5,11,1,0,0,0,10/5
JuJu Smith-Schuster,KC,2,3,17,8.5,9,1,0,0,0,10/5
Tyler Badie,DEN,1,2,16,16,16,1,0,0,0,10/5
Michael Wilson,ARI,2,4,16,8,10,1,0,0,0,10/5
Jaylin Lane,WAS,1,2,16,16,16,1,0,0,0,10/5
Tanner Conner,MIA,2,2,16,8,15,0,0,0,0,10/5
Parker Washington,JAX,2,3,16,8,13,1,1,0,0,10/5
Trent Sherfield Sr.,DEN,1,2,15,15,15,1,0,0,0,10/5
Dawson Knox,BUF,2,2,15,7.5,8,1,0,0,0,10/5
Mike Gesicki,CIN,2,5,15,7.5,15,1,0,0,0,10/5
Jerry Jeudy,CLE,2,5,15,7.5,9,1,0,0,0,10/5
Dyami Brown,JAX,2,4,15,7.5,13,1,0,0,0,10/5
Arian Smith,NYJ,1,1,14,14,14,1,0,0,0,10/5
Oronde Gadsden,LAC,1,1,14,14,14,1,0,0,0,10/5
Rhamondre Stevenson,NE,2,2,13,6.5,7,0,0,1,1,10/5
Bam Knight,ARI,1,1,13,13,13,1,0,0,0,10/5
Harold Fannin Jr.,CLE,4,4,13,3.3,5,2,1,0,0,10/5
Devaughn Vele,NO,2,2,13,6.5,7,1,0,0,0,10/5
Jaylin Noel,HOU,2,3,13,6.5,9,1,1,0,0,10/5
Isaac TeSlaa,DET,1,1,12,12,12,1,1,0,0,10/5
Greg Dortch,ARI,2,2,12,6,8,0,0,0,0,10/5
Jeremy McNichols,WAS,1,2,12,12,12,1,0,0,0,10/5
Zach Charbonnet,SEA,1,2,12,12,12,0,0,0,0,10/5
Isaiah Likely,BAL,1,1,12,12,12,1,0,0,0,10/5
Tony Pollard,TEN,3,3,11,3.7,4,0,0,1,1,10/5
Adam Trautman,DEN,1,1,11,11,11,1,0,0,0,10/5
James Mitchell,CAR,1,1,11,11,11,1,0,0,0,10/5
Hunter Luepke,DAL,1,1,10,10,10,1,0,0,0,10/5
Charlie Kolar,BAL,1,1,10,10,10,1,0,0,0,10/5
Marvin Mims Jr.,DEN,2,5,10,5,6,0,0,0,0,10/5
Elijah Higgins,ARI,2,2,10,5,7,0,0,0,0,10/5
Elijah Arroyo,SEA,1,1,10,10,10,1,0,0,0,10/5
Tay Martin,WAS,1,1,9,9,9,0,0,0,0,10/5
Brycen Tremayne,CAR,1,1,9,9,9,1,0,0,0,10/5
Travis Etienne Jr.,JAX,3,4,9,3,7,0,0,0,0,10/5
Marquez Valdes-Scantling,SF,1,3,9,9,9,0,0,0,0,10/5
Brock Wright,DET,2,3,9,4.5,6,1,1,0,0,10/5
Jameson Williams,DET,1,1,9,9,9,1,0,0,0,10/5
Anthony Richardson Sr.,IND,1,1,9,9,9,1,0,0,0,10/5
Alex Bachman,LV,1,1,9,9,9,1,0,0,0,10/5
John Bates,WAS,1,1,9,9,9,0,0,0,0,10/5
Justice Hill,BAL,1,2,9,9,9,0,0,0,0,10/5
Luke Farrell,SF,1,2,8,8,8,0,0,0,0,10/5
Kendre Miller,NO,1,1,8,8,8,0,0,0,0,10/5
Zay Jones,ARI,2,3,8,4,4,0,0,0,0,10/5
Kareem Hunt,KC,1,1,8,8,8,0,0,0,0,10/5
Beaux Collins,NYG,1,3,7,7,7,0,0,0,0,10/5
Tommy Tremble,CAR,1,2,7,7,7,0,0,0,0,10/5
Hunter Renfrow,CAR,1,3,7,7,7,0,0,0,0,10/5
Trevor Etienne,CAR,1,1,7,7,7,1,0,0,0,10/5
Johnny Mundt,JAX,1,1,7,7,7,0,0,0,0,10/5
Tyler Lockett,TEN,1,4,6,6,6,0,0,0,0,10/5
David Montgomery,DET,1,1,6,6,6,1,0,0,0,10/5
Dylan Sampson,CLE,1,2,6,6,6,0,0,0,0,10/5
Antonio Gibson,NE,1,1,5,5,5,0,0,1,0,10/5
Bhayshul Tuten,JAX,1,1,5,5,5,0,0,0,0,10/5
Brandin Cooks,NO,1,1,5,5,5,0,0,0,0,10/5
J.K. Dobbins,DEN,1,1,5,5,5,0,0,0,0,10/5
Keaton Mitchell,BAL,1,1,5,5,5,0,0,0,0,10/5
Harrison Bryant,HOU,1,2,5,5,5,1,0,0,0,10/5
Jordan Mason,MIN,3,4,4,1.3,2,0,0,1,1,10/5
Devin Singletary,NYG,1,2,4,4,4,0,0,0,0,10/5
Javonte Williams,DAL,1,2,4,4,4,1,1,0,0,10/5
Will Shipley,PHI,1,2,4,4,4,0,0,0,0,10/5
Mitchell Evans,CAR,1,1,4,4,4,1,1,0,0,10/5
TreVeyon Henderson,NE,2,3,3,1.5,4,0,0,0,0,10/5
Luke Schoonmaker,DAL,1,2,3,3,3,0,0,0,0,10/5
Allen Lazard,NYJ,1,2,3,3,3,0,0,0,0,10/5
Zaire Mitchell-Paden,BAL,1,1,3,3,3,0,0,0,0,10/5
Hunter Long,JAX,1,1,3,3,3,0,0,0,0,10/5
Samaje Perine,CIN,2,2,2,1,5,0,0,0,0,10/5
Puka Nacua,LAR,13,15,170,13.1,31,8,1,0,0,9/28
George Pickens,DAL,8,11,134,16.8,28,7,2,0,0,9/28
Justin Jefferson,MIN,10,11,126,12.6,29,5,0,0,0,9/28
DK Metcalf,PIT,5,5,126,25.2,80,5,1,0,0,9/28
Jordan Addison,MIN,4,8,114,28.5,81,2,0,0,0,9/28
Drake London,ATL,8,10,110,13.8,43,4,1,0,0,9/28
Bijan Robinson,ATL,4,5,106,26.5,69,4,0,1,0,9/28
Bucky Irving,TB,5,5,102,20.4,72,3,1,1,1,9/28
Stefon Diggs,NE,6,7,101,16.8,33,3,0,0,0,9/28
Emeka Egbuka,TB,4,10,101,25.3,77,2,1,0,0,9/28
Quentin Johnston,LAC,8,13,98,12.3,36,3,1,0,0,9/28
Adonai Mitchell,IND,3,4,96,32,75,1,0,1,1,9/28
Christian McCaffrey,SF,6,11,92,15.3,29,4,1,1,0,9/28
Tutu Atwell,LAR,1,2,88,88,88,1,1,0,0,9/28
Xavier Worthy,KC,5,8,83,16.6,37,3,0,0,0,9/28
Garrett Wilson,NYJ,6,8,82,13.7,23,4,1,0,0,9/28
Courtland Sutton,DEN,5,6,81,16.2,22,4,1,0,0,9/28
Jaxon Smith-Njigba,SEA,4,5,79,19.8,36,4,0,0,0,9/28
Nico Collins,HOU,4,6,79,19.8,37,3,0,0,0,9/28
Zay Flowers,BAL,7,8,74,10.6,21,4,0,0,0,9/28
Deebo Samuel,WAS,6,6,72,12,24,4,1,1,0,9/28
Josh Jacobs,GB,4,4,71,17.8,28,3,0,0,0,9/28
Kyle Pitts Sr.,ATL,5,5,70,14,26,4,1,0,0,9/28
Amon-Ra St. Brown,DET,7,7,70,10,25,4,2,0,0,9/28
Tyler Warren,IND,5,6,70,14,24,3,0,0,0,9/28
Khalil Shakir,BUF,5,5,69,13.8,43,2,1,0,0,9/28
Rome Odunze,CHI,4,8,69,17.3,27,4,1,0,0,9/28
Marvin Mims Jr.,DEN,6,6,69,11.5,28,3,0,0,0,9/28
Tyreek Hill,MIA,6,6,67,11.2,28,5,0,0,0,9/28
Marvin Harrison Jr.,ARI,6,10,66,11,18,3,1,0,0,9/28
Mason Taylor,NYJ,5,7,65,13,27,4,0,0,0,9/28
Tetairoa McMillan,CAR,4,8,62,15.5,22,3,0,0,0,9/28
Jalen Tolbert,DAL,4,6,61,15.3,34,2,0,0,0,9/28
Jake Tonges,SF,3,5,58,19.3,23,3,1,0,0,9/28
Romeo Doubs,GB,6,8,58,9.7,18,5,3,0,0,9/28
Matthew Golden,GB,5,6,58,11.6,46,2,0,0,0,9/28
Isaiah Bond,CLE,3,6,58,19.3,35,2,0,0,0,9/28
Tucker Kraft,GB,5,5,56,11.2,16,3,0,0,0,9/28
Davante Adams,LAR,4,6,56,14,25,3,1,0,0,9/28
Troy Franklin,DEN,4,8,55,13.8,23,4,0,0,0,9/28
Trey McBride,ARI,7,11,52,7.4,17,4,0,0,0,9/28
Woody Marks,HOU,4,5,50,12.5,20,2,1,0,0,9/28
Brian Thomas Jr.,JAX,5,7,49,9.8,14,2,0,0,0,9/28
Jerry Jeudy,CLE,3,9,48,16,33,2,0,0,0,9/28
Travis Kelce,KC,5,5,48,9.6,15,2,0,0,0,9/28
Jaylen Waddle,MIA,3,6,48,16,25,3,0,0,0,9/28
Rashid Shaheed,NO,4,5,47,11.8,15,2,0,0,0,9/28
Cole Kmet,CHI,3,9,46,15.3,29,2,0,0,0,9/28
Brock Bowers,LV,5,6,46,9.2,19,2,0,0,0,9/28
Ricky Pearsall,SF,4,5,46,11.5,31,3,0,0,0,9/28
Keon Coleman,BUF,3,4,45,15,20,3,0,0,0,9/28
Brenton Strange,JAX,6,7,45,7.5,11,2,0,0,0,9/28
Elic Ayomanor,TEN,2,7,44,22,33,2,0,0,0,9/28
Elijah Arroyo,SEA,2,4,44,22,32,2,0,0,0,9/28
Darius Slayton,NYG,3,4,44,14.7,18,2,0,0,0,9/28
Zavier Scott,MIN,6,8,43,7.2,16,3,1,0,0,9/28
Travis Hunter,JAX,3,5,42,14,28,1,0,1,0,9/28
Tommy Tremble,CAR,5,8,42,8.4,15,2,1,0,0,9/28
Justice Hill,BAL,5,6,41,8.2,13,2,1,0,0,9/28
Olamide Zaccheaus,CHI,5,6,41,8.2,13,2,0,0,0,9/28
Michael Pittman Jr.,IND,5,10,41,8.2,17,3,1,0,0,9/28
Jake Ferguson,DAL,7,7,40,5.7,11,2,1,0,0,9/28
Jameson Williams,DET,2,8,40,20,27,2,0,0,0,9/28
RJ Harvey,DEN,4,5,40,10,14,3,1,0,0,9/28
Sam LaPorta,DET,3,4,39,13,27,1,0,0,0,9/28
T.J. Hockenson,MIN,4,5,39,9.8,14,1,0,0,0,9/28
Hunter Henry,NE,2,2,39,19.5,31,2,1,0,0,9/28
DJ Moore,CHI,4,5,38,9.5,17,1,0,0,0,9/28
Hollywood Brown,KC,3,5,38,12.7,18,2,1,0,0,9/28
Keenan Allen,LAC,5,7,37,7.4,10,2,0,0,0,9/28
Emanuel Wilson,GB,3,3,37,12.3,25,2,0,0,0,9/28
Omarion Hampton,LAC,5,5,37,7.4,19,1,0,0,0,9/28
Dallas Goedert,PHI,4,4,37,9.3,22,3,2,0,0,9/28
Brycen Tremayne,CAR,3,4,36,12,24,1,0,1,0,9/28
JuJu Smith-Schuster,KC,4,6,36,9,12,3,1,0,0,9/28
Greg Dortch,ARI,4,5,35,8.8,15,2,0,0,0,9/28
Kenneth Gainwell,PIT,6,6,35,5.8,8,0,0,0,0,9/28
Quinshon Judkins,CLE,4,4,33,8.3,16,2,0,0,0,9/28
AJ Barner,SEA,3,3,32,10.7,16,2,1,0,0,9/28
Kyle Juszczyk,SF,3,3,32,10.7,18,2,0,0,0,9/28
