Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Gunnar Helm,TEN,2,2,9,4.5,7,0,0,0,0,9/14
Michael Mayer,LV,2,2,9,4.5,6,1,0,0,0,9/14
Noah Brown,WAS,1,4,9,9,9,0,0,0,0,9/14
Tyler Lockett,TEN,2,3,9,4.5,5,0,0,0,0,9/14
J.K. Dobbins,DEN,1,2,9,9,9,0,0,0,0,9/14
Hunter Henry,NE,1,3,9,9,9,0,0,0,0,9/14
Breece Hall,NYJ,2,3,9,4.5,7,0,0,0,0,9/14
Mitchell Evans,CAR,1,1,9,9,9,0,0,0,0,9/14
Kyle Monangai,CHI,1,3,8,8,8,0,0,0,0,9/14
Dee Eskridge,MIA,1,1,8,8,8,0,0,0,0,9/14
Davis Allen,LAR,1,1,8,8,8,1,1,0,0,9/14
Mo Alie-Cox,IND,1,1,8,8,8,0,0,0,0,9/14
Mack Hollins,NE,1,2,8,8,8,1,1,0,0,9/14
DeMario Douglas,NE,1,1,8,8,8,0,0,0,0,9/14
Jordan Mason,MIN,2,3,8,4,6,0,0,0,0,9/14
Arian Smith,NYJ,1,2,8,8,8,1,0,0,0,9/14
Austin Ekeler,WAS,2,4,7,3.5,4,0,0,0,0,9/14
Ben Sinnott,WAS,1,1,7,7,7,0,0,0,0,9/14
Drew Sample,CIN,1,2,7,7,7,0,0,0,0,9/14
Isiah Pacheco,KC,1,2,7,7,7,0,0,0,0,9/14
Roman Wilson,PIT,1,2,7,7,7,0,0,0,0,9/14
Will Dissly,LAC,1,1,7,7,7,0,0,0,0,9/14
D'Andre Swift,CHI,3,3,6,2,3,0,0,1,1,9/14
Courtland Sutton,DEN,1,4,6,6,6,0,0,0,0,9/14
Grant Calcaterra,PHI,1,2,6,6,6,0,0,0,0,9/14
Saquon Barkley,PHI,2,2,6,3,6,0,0,0,0,9/14
Isaiah Davis,NYJ,1,3,6,6,6,1,0,0,0,9/14
Zay Flowers,BAL,7,9,143,20.4,39,5,1,0,0,9/7
Puka Nacua,LAR,10,11,130,13,25,7,0,0,0,9/7
Jaxon Smith-Njigba,SEA,9,13,124,13.8,40,6,0,2,1,9/7
Keon Coleman,BUF,8,11,112,14,25,6,1,0,0,9/7
CeeDee Lamb,DAL,7,13,110,15.7,32,6,0,0,0,9/7
Ricky Pearsall,SF,4,7,108,27,45,4,0,0,0,9/7
Brock Bowers,LV,5,8,103,20.6,38,4,0,0,0,9/7
Kayshon Boutte,NE,6,8,103,17.2,24,5,0,0,0,9/7
Bijan Robinson,ATL,6,7,100,16.7,50,3,1,0,0,9/7
Hollywood Brown,KC,10,16,99,9.9,49,4,0,0,0,9/7
Jakobi Meyers,LV,8,10,97,12.1,24,5,0,0,0,9/7
Garrett Wilson,NYJ,7,9,95,13.6,33,4,1,0,0,9/7
DK Metcalf,PIT,4,7,83,20.8,31,4,0,0,0,9/7
Michael Pittman Jr.,IND,6,8,80,13.3,27,4,1,0,0,9/7
Quentin Johnston,LAC,5,7,79,15.8,33,3,2,0,0,9/7
Sam LaPorta,DET,6,9,79,13.2,32,3,0,0,0,9/7
Deebo Samuel,WAS,7,10,77,11,21,3,0,0,0,9/7
Tyler Warren,IND,7,9,76,10.9,21,4,0,0,0,9/7
Juwan Johnson,NO,8,11,76,9.5,21,4,0,0,0,9/7
Ladd McConkey,LAC,6,9,74,12.3,23,3,0,0,0,9/7
Christian McCaffrey,SF,9,10,73,8.1,25,3,0,0,0,9/7
Malik Nabers,NYG,5,12,71,14.2,25,4,0,0,0,9/7
Marvin Harrison Jr.,ARI,5,6,71,14.2,45,3,1,0,0,9/7
Calvin Austin III,PIT,4,6,70,17.5,30,3,1,0,0,9/7
DJ Moore,CHI,3,5,68,22.7,30,2,0,1,1,9/7
Keenan Allen,LAC,7,10,68,9.7,15,6,1,0,0,9/7
Romeo Doubs,GB,2,4,68,34,48,2,0,0,0,9/7
Tetairoa McMillan,CAR,5,9,68,13.6,21,4,0,0,0,9/7
Emeka Egbuka,TB,4,6,67,16.8,30,2,2,0,0,9/7
Jerry Jeudy,CLE,5,8,66,13.2,25,4,0,0,0,9/7
Hunter Henry,NE,4,8,66,16.5,27,3,0,0,0,9/7
Khalil Shakir,BUF,6,9,64,10.7,26,3,0,0,0,9/7
Dylan Sampson,CLE,8,8,64,8,14,2,0,0,0,9/7
Harold Fannin Jr.,CLE,7,9,63,9,22,3,0,0,0,9/7
Joshua Palmer,BUF,5,9,61,12.2,32,3,0,0,0,9/7
Courtland Sutton,DEN,6,9,61,10.2,22,4,1,0,0,9/7
Trey McBride,ARI,6,9,61,10.2,25,4,0,0,0,9/7
Jahan Dotson,PHI,3,3,59,19.7,51,1,0,0,0,9/7
Kyle Pitts Sr.,ATL,7,8,59,8.4,14,5,0,0,0,9/7
Brenton Strange,JAX,4,4,59,14.8,24,3,0,0,0,9/7
James Cook III,BUF,5,5,58,11.6,51,1,0,0,0,9/7
Stefon Diggs,NE,6,7,57,9.5,16,3,0,0,0,9/7
JuJu Smith-Schuster,KC,5,5,55,11,16,1,0,0,0,9/7
Drake London,ATL,8,15,55,6.9,12,2,0,0,0,9/7
Wan'Dale Robinson,NYG,6,8,55,9.2,20,4,0,0,0,9/7
Tre Tucker,LV,2,3,54,27,28,2,1,0,0,9/7
Chris Olave,NO,7,13,54,7.7,13,2,0,0,0,9/7
Cedric Tillman,CLE,5,8,52,10.4,25,3,1,0,0,9/7
Dyami Brown,JAX,3,4,52,17.3,23,3,0,0,0,9/7
Ray-Ray McCloud III,ATL,3,5,51,17,24,3,0,0,0,9/7
Mike Evans,TB,5,8,51,10.2,14,4,0,0,0,9/7
Davante Adams,LAR,4,8,51,12.8,24,4,0,0,0,9/7
Tyler Conklin,LAC,2,2,50,25,33,2,0,1,0,9/7
Dalton Kincaid,BUF,4,4,48,12,22,3,1,1,0,9/7
Travis Kelce,KC,2,4,47,23.5,37,2,1,0,0,9/7
Amon-Ra St. Brown,DET,4,6,45,11.3,19,4,0,0,0,9/7
Jayden Reed,GB,3,5,45,15,26,2,1,0,0,9/7
Dont'e Thornton Jr.,LV,2,4,45,22.5,36,2,0,0,0,9/7
Dallas Goedert,PHI,7,7,44,6.3,9,2,0,0,0,9/7
Troy Franklin,DEN,4,6,44,11,18,3,0,0,0,9/7
Aaron Jones Sr.,MIN,3,3,44,14.7,27,2,1,0,0,9/7
Justin Jefferson,MIN,4,7,44,11,17,2,1,0,0,9/7
Olamide Zaccheaus,CHI,4,7,42,10.5,16,2,0,0,0,9/7
Tyquan Thornton,KC,2,4,41,20.5,38,1,0,0,0,9/7
Tyreek Hill,MIA,4,6,40,10,21,3,0,0,0,9/7
Sterling Shepard,TB,3,6,39,13,19,3,0,0,0,9/7
Michael Mayer,LV,4,4,38,9.5,12,3,0,0,0,9/7
Breece Hall,NYJ,2,4,38,19,33,1,0,0,0,9/7
David Njoku,CLE,3,6,37,12.3,17,1,0,0,0,9/7
Rome Odunze,CHI,6,9,37,6.2,17,3,1,0,0,9/7
Alec Pierce,IND,1,3,36,36,36,1,0,0,0,9/7
Xavier Smith,LAR,1,1,36,36,36,1,0,0,0,9/7
DeAndre Hopkins,BAL,2,2,35,17.5,29,1,1,0,0,9/7
Chris Moore,WAS,1,1,34,34,34,1,0,0,0,9/7
Rashid Shaheed,NO,6,9,33,5.5,17,2,0,0,0,9/7
Travis Hunter,JAX,6,8,33,5.5,10,0,0,0,0,9/7
Casey Washington,ATL,3,6,33,11,19,3,0,0,0,9/7
Tee Higgins,CIN,3,4,33,11,13,2,0,0,0,9/7
Jayden Higgins,HOU,2,3,32,16,23,1,0,0,0,9/7
Kyle Juszczyk,SF,2,2,32,16,25,1,0,0,0,9/7
Chuba Hubbard,CAR,3,5,32,10.7,27,1,1,0,0,9/7
Jahmyr Gibbs,DET,10,10,31,3.1,7,1,0,0,0,9/7
Tyler Johnson,NYJ,2,2,31,15.5,24,1,0,0,0,9/7
Austin Ekeler,WAS,3,3,31,10.3,15,2,0,0,0,9/7
Cole Kmet,CHI,1,4,31,31,31,1,0,0,0,9/7
George Pickens,DAL,3,4,30,10,15,2,0,0,0,9/7
Dontayvion Wicks,GB,2,2,30,15,16,2,0,0,0,9/7
Jaylen Waddle,MIA,4,5,30,7.5,16,1,0,0,0,9/7
Xavier Hutchinson,HOU,2,2,30,15,23,1,0,0,0,9/7
Tony Pollard,TEN,1,1,29,29,29,1,0,1,1,9/7
Jackson Hawes,BUF,1,1,29,29,29,1,0,0,0,9/7
Dalton Schultz,HOU,3,5,28,9.3,11,2,0,0,0,9/7
Pat Freiermuth,PIT,3,3,28,9.3,11,2,0,0,0,9/7
Jalen Nailor,MIN,1,3,28,28,28,1,0,0,0,9/7
Ja'Tavion Sanders,CAR,2,3,27,13.5,18,1,0,0,0,9/7
Calvin Ridley,TEN,4,8,27,6.8,13,1,0,0,0,9/7
Jonathan Taylor,IND,3,3,27,9,16,2,0,0,0,9/7
Justin Watson,HOU,2,2,27,13.5,15,1,0,0,0,9/7
Noah Brown,WAS,2,3,27,13.5,18,1,0,0,0,9/7
Terry McLaurin,WAS,2,4,27,13.5,14,1,0,0,0,9/7
Noah Fant,CIN,4,5,26,6.5,12,2,1,0,0,9/7
Ja'Marr Chase,CIN,2,5,26,13,20,1,0,0,0,9/7
Brandin Cooks,NO,3,4,26,8.7,12,2,0,0,0,9/7
Zach Ertz,WAS,3,5,26,8.7,11,2,1,0,0,9/7
Nico Collins,HOU,3,5,25,8.3,14,0,0,0,0,9/7
George Kittle,SF,4,4,25,6.3,11,3,1,0,0,9/7
Saquon Barkley,PHI,4,5,24,6,8,2,0,0,0,9/7
TreVeyon Henderson,NE,6,6,24,4,13,0,0,0,0,9/7
Jake Ferguson,DAL,5,6,23,4.6,5,0,0,0,0,9/7
Jameson Williams,DET,4,5,23,5.8,11,2,0,0,0,9/7
Jack Bech,LV,1,1,23,23,23,1,0,0,0,9/7
Ben Skowronek,PIT,1,1,22,22,22,1,1,0,0,9/7
Cade Stover,HOU,4,4,22,5.5,10,1,0,0,0,9/7
Jaylen Warren,PIT,2,2,22,11,17,2,1,0,0,9/7
Evan Engram,DEN,3,4,21,7,10,1,0,0,0,9/7
Adonai Mitchell,IND,2,2,21,10.5,18,1,0,0,0,9/7
De'Von Achane,MIA,3,4,20,6.7,11,1,1,0,0,9/7
Dawson Knox,BUF,2,2,20,10,12,1,0,0,0,9/7
Mo Alie-Cox,IND,1,1,20,20,20,1,0,0,0,9/7
Tanner Conner,MIA,2,4,20,10,14,1,0,0,0,9/7
Malik Washington,MIA,2,5,20,10,11,1,0,0,0,9/7
Mason Taylor,NYJ,1,1,20,20,20,1,0,0,0,9/7
Chig Okonkwo,TEN,3,4,19,6.3,14,1,0,0,0,9/7
KaVontae Turpin,DAL,2,2,18,9,16,1,0,0,0,9/7
Will Dissly,LAC,1,1,18,18,18,1,0,0,0,9/7
David Montgomery,DET,4,4,18,4.5,7,1,0,0,0,9/7
Josh Reynolds,NYJ,2,3,18,9,13,0,0,0,0,9/7
Dare Ogunbowale,HOU,2,2,17,8.5,16,1,0,1,1,9/7
DeVonta Smith,PHI,3,3,16,5.3,7,1,0,0,0,9/7
Tyler Badie,DEN,2,6,16,8,13,0,0,0,0,9/7
Gunnar Helm,TEN,1,2,16,16,16,1,0,0,0,9/7
Kalif Raymond,DET,2,3,16,8,9,1,0,0,0,9/7
Tucker Kraft,GB,2,4,16,8,15,1,1,0,0,9/7
Matthew Golden,GB,2,2,16,8,11,1,0,0,0,9/7
Jeremy Ruckert,NYJ,2,2,16,8,12,2,0,0,0,9/7
Jauan Jennings,SF,2,5,16,8,11,1,0,0,0,9/7
Jonnu Smith,PIT,5,6,15,3,6,2,1,0,0,9/7
Jake Tonges,SF,3,3,15,5,9,2,1,0,0,9/7
Cooper Kupp,SEA,2,3,15,7.5,9,0,0,0,0,9/7
T.J. Hockenson,MIN,3,4,15,5,9,0,0,0,0,9/7
Mike Gesicki,CIN,1,3,14,14,14,1,0,0,0,9/7
Blake Corum,LAR,1,1,14,14,14,0,0,0,0,9/7
Daniel Bellinger,NYG,1,1,14,14,14,1,0,0,0,9/7
Derrick Henry,BAL,1,1,13,13,13,1,0,1,1,9/7
Omarion Hampton,LAC,2,2,13,6.5,7,0,0,0,0,9/7
Elic Ayomanor,TEN,2,7,13,6.5,10,1,0,0,0,9/7
Isaac TeSlaa,DET,1,1,13,13,13,1,1,0,0,9/7
Davis Allen,LAR,1,2,13,13,13,1,1,0,0,9/7
Devaughn Vele,NO,1,2,13,13,13,1,0,0,0,9/7
Travis Etienne Jr.,JAX,3,3,13,4.3,7,1,0,0,0,9/7
Marvin Mims Jr.,DEN,3,4,12,4,7,1,0,1,1,9/7
Josh Downs,IND,2,3,12,6,6,1,0,0,0,9/7
Rhamondre Stevenson,NE,2,3,12,6,7,0,0,0,0,9/7
Kyle Williams,NE,1,1,12,12,12,1,0,0,0,9/7
Alvin Kamara,NO,2,2,12,6,7,1,0,0,0,9/7
Cam Skattebo,NYG,2,2,12,6,6,0,0,0,0,9/7
D'Andre Swift,CHI,3,5,12,4,8,1,0,0,0,9/7
Colston Loveland,CHI,2,2,12,6,8,0,0,0,0,9/7
Brian Thomas Jr.,JAX,1,7,11,11,11,1,0,0,0,9/7
Tre' Harris,LAC,1,1,11,11,11,1,0,0,0,9/7
Tyrone Tracy Jr.,NYG,2,5,11,5.5,6,0,0,0,0,9/7
Jaylin Lane,WAS,1,2,11,11,11,1,0,0,0,9/7
Hunter Renfrow,CAR,2,6,11,5.5,6,2,0,0,0,9/7
Kyle Monangai,CHI,1,1,11,11,11,1,0,0,0,9/7
Javonte Williams,DAL,2,3,10,5,7,0,0,0,0,9/7
Kareem Hunt,KC,2,3,10,5,6,1,0,0,0,9/7
Rashod Bateman,BAL,2,4,10,5,5,0,0,0,0,9/7
Austin Hooper,NE,1,1,10,10,10,1,0,0,0,9/7
Tip Reiman,ARI,1,1,10,10,10,1,0,0,0,9/7
Xavier Legette,CAR,3,7,10,3.3,9,0,0,0,0,9/7
Dee Eskridge,MIA,1,2,9,9,9,1,0,0,0,9/7
A.J. Brown,PHI,1,1,8,8,8,0,0,0,0,9/7
Bucky Irving,TB,4,4,8,2,9,1,1,0,0,9/7
Chase Brown,CIN,2,3,8,4,7,0,0,0,0,9/7
Bryce Oliver,TEN,1,1,8,8,8,0,0,0,0,9/7
Nick Westbrook-Ikhine,MIA,1,2,7,7,7,1,0,0,0,9/7
Jaylin Noel,HOU,1,2,7,7,7,0,0,0,0,9/7
Elijah Arroyo,SEA,1,1,7,7,7,0,0,0,0,9/7
Jordan Mason,MIN,1,1,7,7,7,0,0,0,0,9/7
Samaje Perine,CIN,2,2,6,3,5,1,0,0,0,9/7
Jamari Thrash,CLE,1,1,6,6,6,0,0,0,0,9/7
Lucas Krull,DEN,1,2,6,6,6,0,0,0,0,9/7
Trey Benson,ARI,1,1,6,6,6,0,0,0,0,9/7
Hunter Long,JAX,1,1,6,6,6,1,1,0,0,9/7
Najee Harris,LAC,1,1,5,5,5,0,0,0,0,9/7
Mark Andrews,BAL,1,1,5,5,5,0,0,0,0,9/7
Isaiah Bond,CLE,1,1,5,5,5,0,0,0,0,9/7
J.K. Dobbins,DEN,2,2,5,2.5,3,0,0,0,0,9/7
Adam Trautman,DEN,1,1,5,5,5,0,0,0,0,9/7
James Conner,ARI,4,4,5,1.3,5,2,1,0,0,9/7
Michael Wilson,ARI,1,4,5,5,5,1,0,0,0,9/7
Theo Johnson,NYG,1,3,5,5,5,0,0,0,0,9/7
Josh Oliver,MIN,1,1,5,5,5,0,0,0,0,9/7
Kenneth Gainwell,PIT,3,4,4,1.3,5,0,0,1,0,9/7
Rico Dowdle,CAR,2,3,4,2,3,0,0,0,0,9/7
Adam Prentice,DEN,1,1,4,4,4,0,0,0,0,9/7
Josh Jacobs,GB,1,1,4,4,4,0,0,0,0,9/7
Luke Musgrave,GB,1,1,4,4,4,0,0,0,0,9/7
Tutu Atwell,LAR,1,1,4,4,4,0,0,0,0,9/7
Zay Jones,ARI,1,1,4,4,4,0,0,0,0,9/7
